question_id,question_code,question_text,model_id,construct_family,target_field,created_datetime,updated_datetime
dff5aedf-fc44-5b78-8f0f-c340af4ca821,V2Q16,"V2Q16. I am confident making decisions using costs, benefits, and tradeoffs.",tds_recommender_v2,domain_self_efficacy,business,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
01e9a552-0ae0-5e98-87e6-dd2d4a710fe8,V2Q17,"V2Q17. I would enjoy explaining lessons, tutoring classmates, or guiding younger learners.",tds_recommender_v2,domain_interest,education,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
55bb3211-7a1c-5cdb-bf6f-d88f1b16d3bd,V2Q18,V2Q18. I like helping people understand ideas and grow through patient support.,tds_recommender_v2,domain_interest,education,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
5e7b92dc-bacc-5952-80aa-30f6340e86b2,V2Q19,V2Q19. I can explain a difficult topic clearly to someone who is still learning.,tds_recommender_v2,domain_self_efficacy,education,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
9b0c50b2-dede-5440-93eb-2044ee620bbf,V2Q20,V2Q20. I am confident leading discussions or learning activities for a group.,tds_recommender_v2,domain_self_efficacy,education,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
9327a762-7e90-5d01-8cf4-1b67bdec63bc,V2Q21,"V2Q21. I would enjoy work connected to farming, food production, animals, or natural resources.",tds_recommender_v2,domain_interest,agriculture,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
34692a9f-cbbd-5718-9661-752f8df4d424,V2Q22,"V2Q22. I like practical outdoor or community work that improves land, crops, or livelihood.",tds_recommender_v2,domain_interest,agriculture,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
19a19a19-973f-5675-826f-7088e93daa4f,V2Q23,"V2Q23. I can learn hands-on methods for growing, producing, or managing resources.",tds_recommender_v2,domain_self_efficacy,agriculture,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
645a925b-5896-5313-93d8-c6682cb572fd,V2Q24,"V2Q24. I am confident solving practical problems in farms, food systems, or local enterprises.",tds_recommender_v2,domain_self_efficacy,agriculture,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
d287d6ad-5e99-58f3-9429-dd9b65c648e2,V2Q25,V2Q25. What is your current Senior High School (SHS) strand?,tds_recommender_v2,context,strand,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
5e0024a5-ab2b-5d1b-ac94-b10eab979945,V2Q26,V2Q26. What is your household financial situation?,tds_recommender_v2,constraint,financial,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
81b2cc5d-6cd2-59f5-95ff-54a4619d118d,V2Q27,V2Q27. How do you plan to get to school every day?,tds_recommender_v2,constraint,mobility,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
5bac7d02-4f9b-58ec-89f3-bf290332148b,V2Q28,V2Q28. How do you feel about programs that require 5+ years of study or heavy board exam preparation?,tds_recommender_v2,constraint,duration,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
4d853352-8fdc-54f6-8d2e-0cb5b3897d36,V2Q29,V2Q29. Do you plan to pursue a graduate professional degree after completing your bachelor's program?,tds_recommender_v2,aspiration,professional_track,2026-05-16T00:00:00+00:00,2026-05-16T00:00:00+00:00
